task_id,level,FDK,CLH,CLO,SYS,GND,IGE,OGE,SND,VIB,MTN,VIS,NAV,ATM,OST
ae-1.1,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-1.1,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-1.2,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-1.2,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ae-1.3,TP,S,R,G,S,G,N,N,N,N,N,N,N,G,N
ae-1.3,T,R,R,G,R,G,N,N,N,N,N,N,N,G,N
ae-1.4,TP,S,R,G,S,G,N,N,R,N,N,G,S,R,G
ae-1.4,T,G,R,G,R,G,N,N,G,N,N,N,R,G,N
ae-1.5,TP,S,S,S,S,S,N,N,R,R,S,R,S,R,G
ae-1.5,T,G,R,R,R,R,N,N,G,N,N,R,R,G,G
ae-1.6,TP,S,S,R,S,R,N,N,R,R,R,R,S,R,G
ae-1.6,T,G,G,G,R,G,N,N,G,N,N,N,R,G,N
ae-2.1,TP,S,S,S,S,S,S,S,R,R,S,S,N,R,R
ae-2.1,T,R,R,R,R,R,R,R,G,N,N,R,N,G,G
ae-2.2,TP,S,S,S,S,S,S,S,R,R,S,S,S,R,R
ae-2.2,T,R,R,R,R,R,R,R,G,N,N,R,R,G,G
ae-2.3,TP,S,S,S,S,S,S,S,R,R,S,S,N,R,R
ae-2.3,T,R,R,R,R,R,R,R,G,N,R,R,N,G,G
ae-2.4,TP,S,S,S,S,S,S,S,R,R,S,S,N,R,R
ae-2.4,T,R,R,R,R,R,R,R,G,N,N,R,N,G,G
ae-2.5.1,TP,S,S,S,S,S,S,S,R,R,S,S,N,R,R
ae-2.5.1,T,R,R,R,R,R,R,R,G,G,R,R,N,G,G
ae-2.5.2,TP,S,S,S,S,S,S,S,R,R,S,S,S,S,S
ae-2.5.2,T,R,R,R,R,R,R,R,G,G,R,R,N,G,G
ae-2.6,TP,S,S,S,S,S,N,N,R,R,S,S,N,R,R
ae-2.6,T,R,R,R,R,R,N,N,G,G,R,R,N,G,G
ae-3.1,TP,R,S,S,S,N,N,S,G,R,R,R,N,G,N
ae-3.1,T,G,R,R,R,N,N,R,N,N,N,G,N,G,N
ae-3.1.1,TP,R,S,S,S,N,N,S,G,R,R,R,N,G,N
ae-3.1.1,T,G,R,R,R,N,N,R,N,N,N,G,N,G,N
ae-3.1.2,TP,R,S,S,S,N,N,S,G,R,R,R,N,G,N
ae-3.1.2,T,G,R,R,R,N,N,R,N,N,N,G,N,G,N
ae-3.1.3,TP,R,S,S,S,N,N,S,G,R,R,R,N,G,N
ae-3.1.3,T,G,R,R,R,N,N,R,N,N,N,G,N,G,N
ae-3.1.4,TP,S,S,S,S,N,N,S,G,R,R,R,S,G,G
ae-3.1.4,T,G,R,R,R,N,N,R,N,N,N,G,R,G,G
ae-3.2,TP,S,S,S,S,S,S,S,G,S,S,S,S,S,S
ae-3.2,T,G,R,R,R,N,N,R,N,G,G,G,N,G,N
ae-3.3,TP,R,N,N,S,N,N,N,N,N,N,N,N,G,N
ae-3.3,T,G,N,N,R,N,N,N,N,N,N,N,N,G,N
ae-3.4.0,TP,S,S,S,S,N,N,S,R,R,R,N,N,G,N
ae-3.4.0,T,G,G,G,R,N,N,G,G,N,N,N,N,G,N
ae-3.4.1,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.1,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.2,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.2,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.3,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.3,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.4,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.4,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.5,TP,R,N,G,S,N,N,G,N,N,N,N,N,G,N
ae-3.4.5,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.6,TP,R,S,S,S,N,N,S,N,R,R,N,N,G,N
ae-3.4.6,T,G,R,R,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.7,TP,R,N,G,S,N,N,S,N,R,R,R,N,R,N
ae-3.4.7,T,G,N,G,R,N,N,G,N,N,N,N,N,R,N
ae-3.4.8,TP,S,R,R,S,N,N,S,N,N,N,N,R,G,N
ae-3.4.8,T,G,G,G,R,N,N,G,N,N,N,N,R,G,N
ae-3.4.9,TP,R,R,R,S,N,N,S,N,N,N,N,N,G,N
ae-3.4.9,T,G,N,G,R,N,N,G,N,N,N,N,N,G,N
ae-3.4.10,TP,R,R,R,S,N,N,S,N,N,N,N,N,R,R
ae-3.4.10,T,G,N,G,R,N,N,G,N,N,N,N,N,G,R
ae-3.4.11,TP,R,N,G,S,N,N,G,N,N,N,N,S,R,G
ae-3.4.11,T,G,N,G,R,N,N,G,N,N,N,N,S,G,G
ae-3.4.12,TP,R,S,S,S,S,S,S,R,R,R,G,N,G,G
ae-3.4.12,T,G,R,R,R,R,R,R,G,N,N,N,N,G,N
